946 10000
AND 2 1
XOR 2 1
SET 2 314
SET 2 941
SET 1 74
SET 2 827
AND 2 1
AND 2 1
SET 1 361
AND 2 1
AND 1 2
XOR 2 1
FLIP 1 4
SET 1 808
OR 1 2
AND 2 1
XOR 2 1
SET 2 527
AND 2 1
XOR 1 2
AND 1 2
FLIP 2 659
AND 1 2
FLIP 2 425
FLIP 2 670
OR 1 2
SET 1 298
SET 2 892
SET 1 723
XOR 1 2
AND 2 1
AND 1 2
SET 2 43
SET 1 679
OR 1 2
XOR 1 2
OR 2 1
OR 2 1
SET 1 307
AND 2 1
FLIP 2 270
FLIP 2 786
XOR 2 1
OR 1 2
OR 1 2
AND 1 2
SET 2 193
OR 2 1
SET 1 921
AND 2 1
OR 2 1
SET 2 939
FLIP 2 573
SET 1 263
SET 1 236
XOR 1 2
FLIP 2 159
SET 2 217
OR 2 1
SET 2 194
SET 2 885
OR 2 1
FLIP 2 695
SET 2 123
FLIP 1 842
AND 1 2
FLIP 1 57
AND 2 1
OR 1 2
XOR 1 2
FLIP 1 207
OR 1 2
XOR 1 2
AND 2 1
XOR 2 1
XOR 2 1
FLIP 2 340
FLIP 2 90
OR 1 2
FLIP 1 155
AND 1 2
SET 2 654
OR 2 1
SET 1 508
XOR 2 1
XOR 1 2
AND 1 2
OR 1 2
SET 1 626
OR 2 1
AND 2 1
XOR 1 2
OR 2 1
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
XOR 1 2
FLIP 2 777
OR 2 1
XOR 2 1
SET 1 4
SET 2 1
XOR 1 2
OR 2 1
OR 1 2
FLIP 1 544
XOR 1 2
OR 1 2
XOR 1 2
AND 2 1
OR 1 2
XOR 1 2
OR 2 1
AND 2 1
SET 2 556
FLIP 2 814
OR 2 1
FLIP 2 577
XOR 1 2
AND 1 2
AND 2 1
XOR 1 2
SET 2 946
XOR 1 2
OR 2 1
OR 2 1
OR 1 2
SET 2 754
FLIP 2 684
AND 1 2
OR 1 2
OR 1 2
SET 1 34
OR 1 2
XOR 2 1
XOR 1 2
AND 2 1
AND 2 1
OR 2 1
OR 1 2
OR 1 2
OR 2 1
FLIP 1 335
SET 1 435
AND 2 1
FLIP 2 503
XOR 2 1
AND 2 1
XOR 2 1
SET 1 448
OR 1 2
AND 1 2
FLIP 1 935
FLIP 2 599
SET 1 862
AND 2 1
SET 2 504
XOR 2 1
FLIP 2 26
OR 1 2
FLIP 2 268
OR 2 1
SET 1 252
OR 1 2
FLIP 1 62
SET 2 828
FLIP 1 331
XOR 1 2
OR 1 2
AND 1 2
XOR 2 1
XOR 2 1
SET 1 135
XOR 1 2
XOR 1 2
OR 2 1
AND 1 2
XOR 1 2
FLIP 2 141
OR 1 2
FLIP 2 406
XOR 2 1
OR 1 2
XOR 2 1
SET 1 889
SET 2 615
XOR 2 1
OR 2 1
XOR 1 2
XOR 1 2
FLIP 1 734
OR 1 2
AND 2 1
OR 1 2
AND 1 2
AND 2 1
XOR 1 2
XOR 1 2
XOR 1 2
SET 1 267
OR 1 2
OR 2 1
SET 2 147
XOR 2 1
SET 2 241
XOR 2 1
FLIP 1 547
SET 1 203
FLIP 2 341
AND 1 2
SET 2 455
AND 2 1
FLIP 2 258
FLIP 2 404
AND 2 1
XOR 1 2
XOR 1 2
AND 2 1
AND 1 2
FLIP 1 140
SET 2 675
XOR 2 1
FLIP 1 214
OR 2 1
FLIP 1 686
AND 2 1
SET 1 310
SET 2 436
AND 1 2
AND 1 2
SET 2 421
AND 2 1
OR 2 1
SET 2 900
OR 2 1
XOR 1 2
SET 2 291
SET 2 295
AND 1 2
OR 2 1
FLIP 2 447
OR 2 1
OR 1 2
AND 2 1
AND 2 1
FLIP 2 652
OR 2 1
AND 1 2
OR 2 1
AND 2 1
AND 2 1
SET 1 518
FLIP 2 463
AND 1 2
FLIP 1 456
XOR 2 1
SET 1 548
AND 1 2
FLIP 1 889
AND 2 1
SET 2 594
XOR 2 1
SET 2 619
AND 2 1
AND 1 2
SET 2 30
FLIP 1 914
XOR 1 2
OR 2 1
XOR 1 2
FLIP 2 177
OR 1 2
OR 1 2
AND 2 1
FLIP 1 291
FLIP 1 889
OR 1 2
SET 2 505
OR 2 1
FLIP 2 753
FLIP 1 715
AND 1 2
XOR 1 2
OR 2 1
AND 1 2
OR 2 1
SET 1 858
SET 2 58
XOR 1 2
OR 1 2
XOR 2 1
FLIP 2 2
SET 1 617
XOR 2 1
FLIP 1 682
FLIP 2 763
OR 2 1
OR 1 2
XOR 2 1
OR 2 1
SET 2 740
AND 2 1
SET 1 826
SET 2 712
XOR 2 1
OR 2 1
AND 2 1
OR 2 1
OR 2 1
OR 2 1
FLIP 1 891
SET 1 719
FLIP 2 805
XOR 2 1
SET 1 466
AND 1 2
XOR 2 1
XOR 1 2
AND 1 2
FLIP 2 352
OR 2 1
SET 1 594
OR 2 1
SET 1 293
AND 2 1
FLIP 2 827
SET 2 305
FLIP 2 321
XOR 2 1
OR 1 2
OR 1 2
FLIP 2 814
SET 1 446
FLIP 1 491
FLIP 2 207
SET 2 595
SET 2 539
SET 1 176
SET 2 221
OR 2 1
AND 1 2
SET 1 205
AND 1 2
SET 1 528
AND 2 1
OR 2 1
XOR 1 2
AND 2 1
OR 1 2
FLIP 1 11
XOR 2 1
OR 1 2
AND 2 1
AND 1 2
FLIP 2 463
AND 1 2
XOR 2 1
SET 1 936
AND 1 2
OR 2 1
AND 2 1
SET 1 340
XOR 2 1
SET 1 45
XOR 2 1
AND 1 2
OR 2 1
OR 1 2
SET 2 567
OR 2 1
OR 1 2
FLIP 1 891
OR 2 1
OR 2 1
XOR 2 1
FLIP 1 534
FLIP 2 917
FLIP 2 48
XOR 1 2
SET 1 39
OR 1 2
FLIP 1 900
XOR 1 2
SET 2 62
OR 2 1
XOR 1 2
XOR 1 2
OR 2 1
FLIP 1 910
SET 2 705
FLIP 1 929
SET 1 62
OR 1 2
SET 1 147
AND 2 1
FLIP 1 419
SET 2 930
SET 1 849
SET 2 913
AND 2 1
AND 2 1
AND 1 2
XOR 2 1
FLIP 2 822
OR 1 2
AND 1 2
AND 1 2
SET 2 141
OR 1 2
AND 1 2
FLIP 1 141
SET 1 892
OR 1 2
FLIP 2 324
SET 1 798
XOR 2 1
SET 1 775
OR 2 1
SET 2 157
OR 2 1
OR 2 1
XOR 2 1
SET 1 189
FLIP 2 589
XOR 1 2
XOR 1 2
FLIP 2 713
SET 2 282
XOR 2 1
XOR 1 2
AND 2 1
XOR 1 2
AND 2 1
OR 2 1
XOR 2 1
FLIP 2 445
OR 1 2
SET 1 774
SET 1 322
XOR 2 1
OR 1 2
OR 1 2
FLIP 2 25
OR 2 1
XOR 1 2
FLIP 2 240
XOR 1 2
XOR 1 2
FLIP 1 400
OR 1 2
SET 2 465
AND 1 2
SET 1 45
XOR 1 2
FLIP 1 800
FLIP 2 359
SET 1 309
AND 2 1
AND 1 2
FLIP 2 394
FLIP 2 78
FLIP 2 573
AND 2 1
OR 1 2
SET 1 13
AND 1 2
FLIP 2 372
OR 2 1
FLIP 1 151
OR 2 1
FLIP 2 12
SET 2 335
SET 2 310
XOR 2 1
AND 2 1
SET 1 235
FLIP 1 885
XOR 2 1
FLIP 2 79
AND 1 2
AND 1 2
XOR 1 2
SET 1 245
AND 1 2
FLIP 1 37
AND 2 1
AND 1 2
FLIP 2 720
SET 2 544
SET 1 397
OR 1 2
AND 2 1
OR 2 1
OR 2 1
OR 1 2
FLIP 1 224
SET 1 182
AND 1 2
SET 2 314
FLIP 1 494
AND 2 1
FLIP 1 368
SET 1 882
FLIP 2 289
SET 1 887
SET 1 366
FLIP 2 637
XOR 2 1
FLIP 2 288
AND 2 1
FLIP 2 392
XOR 2 1
OR 2 1
XOR 1 2
XOR 2 1
XOR 1 2
XOR 2 1
FLIP 2 691
XOR 2 1
OR 2 1
AND 1 2
OR 2 1
XOR 2 1
XOR 1 2
AND 1 2
SET 1 246
SET 1 535
AND 1 2
SET 1 304
OR 1 2
SET 1 264
XOR 1 2
XOR 1 2
AND 1 2
SET 2 811
SET 1 609
AND 1 2
XOR 1 2
AND 2 1
AND 1 2
XOR 2 1
OR 1 2
XOR 2 1
FLIP 1 380
SET 1 603
SET 2 305
OR 1 2
OR 2 1
AND 1 2
SET 1 486
OR 1 2
SET 2 690
OR 2 1
FLIP 1 107
FLIP 1 109
AND 2 1
SET 1 230
SET 1 37
XOR 1 2
FLIP 2 219
XOR 2 1
SET 1 766
FLIP 1 930
XOR 2 1
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
XOR 1 2
AND 2 1
AND 2 1
XOR 1 2
XOR 1 2
OR 2 1
OR 2 1
OR 1 2
SET 2 129
XOR 1 2
SET 1 811
SET 2 277
SET 1 707
SET 1 135
SET 1 432
XOR 1 2
OR 2 1
AND 2 1
SET 2 296
AND 1 2
SET 2 499
OR 2 1
XOR 1 2
SET 1 219
FLIP 1 167
AND 1 2
FLIP 1 699
FLIP 1 436
OR 2 1
SET 2 496
SET 1 516
FLIP 1 826
SET 2 856
AND 2 1
XOR 2 1
XOR 1 2
SET 2 640
XOR 1 2
FLIP 2 326
AND 2 1
XOR 1 2
FLIP 1 571
AND 2 1
XOR 1 2
OR 1 2
XOR 2 1
XOR 1 2
OR 2 1
XOR 2 1
SET 1 436
AND 2 1
OR 2 1
SET 2 250
AND 1 2
OR 2 1
AND 1 2
FLIP 1 668
SET 2 96
OR 2 1
FLIP 1 2
FLIP 2 816
AND 2 1
SET 2 497
OR 2 1
XOR 2 1
SET 2 461
XOR 2 1
XOR 1 2
OR 2 1
OR 2 1
OR 1 2
FLIP 1 422
AND 2 1
FLIP 2 238
XOR 2 1
SET 2 594
OR 2 1
SET 2 569
OR 2 1
XOR 2 1
SET 2 819
SET 2 425
AND 1 2
XOR 1 2
OR 1 2
SET 1 931
FLIP 2 344
AND 2 1
AND 2 1
XOR 1 2
FLIP 1 810
OR 2 1
AND 2 1
OR 2 1
OR 1 2
AND 1 2
XOR 1 2
FLIP 1 687
SET 2 822
AND 2 1
AND 1 2
OR 1 2
OR 1 2
OR 1 2
SET 1 255
SET 1 382
AND 1 2
XOR 1 2
XOR 1 2
AND 2 1
AND 2 1
XOR 1 2
XOR 2 1
FLIP 1 847
FLIP 2 326
AND 2 1
OR 1 2
FLIP 2 927
OR 2 1
SET 1 912
AND 2 1
AND 1 2
SET 1 561
AND 1 2
SET 2 437
XOR 1 2
XOR 1 2
AND 1 2
SET 2 215
FLIP 2 304
SET 2 293
AND 2 1
OR 2 1
FLIP 2 367
AND 2 1
SET 1 324
FLIP 2 503
OR 1 2
FLIP 1 191
AND 1 2
OR 1 2
OR 2 1
OR 1 2
FLIP 2 148
FLIP 2 262
XOR 2 1
XOR 1 2
FLIP 1 340
FLIP 2 85
FLIP 2 195
SET 1 599
AND 2 1
OR 2 1
SET 1 443
SET 2 21
XOR 1 2
AND 1 2
AND 1 2
SET 1 521
AND 2 1
SET 1 827
AND 1 2
FLIP 2 500
SET 1 18
FLIP 1 794
XOR 1 2
OR 1 2
XOR 2 1
OR 1 2
OR 1 2
XOR 1 2
FLIP 2 780
XOR 1 2
SET 2 208
OR 2 1
AND 2 1
OR 1 2
AND 1 2
FLIP 2 626
AND 1 2
FLIP 1 566
XOR 1 2
AND 1 2
FLIP 2 583
AND 2 1
FLIP 2 213
FLIP 1 457
OR 1 2
FLIP 2 368
AND 1 2
FLIP 2 524
FLIP 1 115
AND 1 2
SET 2 762
OR 2 1
SET 2 621
AND 2 1
SET 1 713
XOR 1 2
SET 1 820
OR 1 2
XOR 1 2
XOR 1 2
AND 1 2
AND 1 2
FLIP 2 341
FLIP 1 535
SET 2 47
XOR 1 2
XOR 1 2
SET 2 821
SET 1 135
OR 1 2
AND 1 2
